Date,Description,Category,Amount,Account
2025-10-11,Shopper,Mercado,1640.63,Cartão Amex (..2005)
2025-10-11,Academia,Saúde,380.82,Cartão Amex (..2005)
2025-10-10,Amazon,Compras,774.72,Conta Corrente (..1234)
2025-10-07,Academia,Saúde,41.51,Cartão Amex (..2005)
2025-10-06,Internet,Contas,2700.18,Cartão Amex (..2005)
2025-10-05,Assai,Mercado,1672.01,Cartão Amex (..2005)
2025-10-05,Kotay Sushi,Alimentação,138.84,Conta Corrente (..1234)
2025-10-05,Assai,Mercado,1797.88,Cartão Amex (..2005)
2025-10-04,Bilhere Único,Transporte,361.75,Conta Corrente (..1234)
2025-10-04,Aluguel,Contas,476.91,Cartão Amex (..2005)
2025-10-03,99APP,Transporte,440.13,Conta Corrente (..1234)
2025-09-30,Bilhere Único,Transporte,322.31,Conta Corrente (..1234)
2025-09-28,HBO Max,Assinaturas,329.37,Cartão Visa (..5678)
2025-09-28,Sem Parar,Transporte,76.07,Cartão Amex (..2005)
2025-09-28,PIX Recebido,Renda,-6785.72,Cartão Visa (..5678)
2025-09-25,Assai,Mercado,1817.05,Cartão Amex (..2005)
2025-09-25,Wellhub,Saúde,488.61,Conta Corrente (..1234)
2025-09-25,Uber,Transporte,482.97,Conta Corrente (..1234)
2025-09-24,Sem Parar,Transporte,316.62,Cartão Amex (..2005)
2025-09-23,Amil Saúde,Saúde,174.99,Conta Corrente (..1234)
2025-09-23,McDonald's,Alimentação,289.51,Conta Corrente (..1234)
2025-09-22,Coffee Lab,Alimentação,127.22,Conta Corrente (..1234)
2025-09-22,Drogaria São Paulo,Saúde,425.36,Cartão Visa (..5678)
2025-09-21,Internet,Contas,4540.41,Conta Corrente (..1234)
2025-09-19,Drogasil,Saúde,332.27,Conta Corrente (..1234)
2025-09-19,Pagamento Freelance,Renda,-3329.87,Conta Corrente (..1234)
2025-09-18,Rascal,Alimentação,207.34,Cartão Amex (..2005)
2025-09-16,Z Deli,Alimentação,251.24,Conta Corrente (..1234)
2025-09-14,99Food,Delivery,156.71,Cartão Amex (..2005)
2025-09-13,Coffee Lab,Alimentação,84.47,Cartão Amex (..2005)
2025-09-13,Uber,Transporte,71.97,Conta Corrente (..1234)
2025-09-13,Drogaria São Paulo,Saúde,98.91,Cartão Visa (..5678)
2025-09-12,Rappi,Delivery,95.5,Cartão Amex (..2005)
2025-09-12,Pagamento Freelance,Renda,-5541.85,Cartão Amex (..2005)
2025-09-11,Kotay Sushi,Alimentação,455.34,Conta Corrente (..1234)
2025-09-11,Amil Saúde,Saúde,202.83,Cartão Amex (..2005)
2025-09-11,Internet,Contas,2040.25,Conta Corrente (..1234)
2025-09-11,Carrefour,Mercado,2048.45,Cartão Visa (..5678)
2025-09-10,Pão de Açúcar,Mercado,893.78,Conta Corrente (..1234)
2025-09-10,99APP,Transporte,171.43,Cartão Visa (..5678)
2025-09-09,Droga Raia,Saúde,199.37,Cartão Visa (..5678)
2025-09-07,Taxi,Transporte,416.24,Cartão Visa (..5678)
2025-09-07,Internet,Contas,4743.31,Conta Corrente (..1234)
2025-09-07,Posto Ipiranga,Transporte,295.46,Cartão Amex (..2005)
2025-09-06,Netflix,Assinaturas,26.62,Cartão Amex (..2005)
2025-09-05,Posto Ipiranga,Transporte,472.18,Cartão Amex (..2005)
2025-09-04,Netflix,Assinaturas,235.38,Cartão Amex (..2005)
2025-09-03,Salário,Renda,-6924.58,Conta Corrente (..1234)
2025-09-03,Netflix,Assinaturas,299.98,Conta Corrente (..1234)
2025-09-01,Drogaria São Paulo,Saúde,72.26,Cartão Amex (..2005)
2025-08-31,99Food,Delivery,230.77,Conta Corrente (..1234)
2025-08-31,Icloud,Assinaturas,363.49,Conta Corrente (..1234)
2025-08-31,Pagamento Freelance,Renda,-7437.52,Cartão Visa (..5678)
2025-08-30,Apple Plus,Assinaturas,494.41,Cartão Visa (..5678)
2025-08-30,99Food,Delivery,245.64,Cartão Visa (..5678)
2025-08-29,Aluguel,Contas,508.72,Cartão Visa (..5678)
2025-08-29,99Food,Delivery,62.26,Cartão Amex (..2005)
2025-08-28,Zara,Compras,120.85,Cartão Amex (..2005)
2025-08-28,Wellhub,Saúde,461.48,Cartão Amex (..2005)
2025-08-27,Aluguel,Contas,4239.63,Cartão Amex (..2005)
2025-08-27,Kotay Sushi,Alimentação,118.37,Cartão Amex (..2005)
2025-08-26,Salário,Renda,-7393.49,Conta Corrente (..1234)
2025-08-26,Bilhere Único,Transporte,88.87,Conta Corrente (..1234)
2025-08-25,Assai,Mercado,1297.09,Conta Corrente (..1234)
2025-08-25,Z Deli,Alimentação,145.35,Cartão Amex (..2005)
2025-08-22,Salário,Renda,-8799.26,Conta Corrente (..1234)
2025-08-22,Internet,Contas,2003.09,Conta Corrente (..1234)
2025-08-22,Amazon,Compras,224.09,Cartão Visa (..5678)
2025-08-21,Drogaria São Paulo,Saúde,103.93,Cartão Visa (..5678)
2025-08-21,Conta de Água - Sabesp,Contas,2009.28,Cartão Visa (..5678)
2025-08-20,Salário,Renda,-3979.01,Cartão Amex (..2005)
2025-08-19,Academia,Saúde,37.25,Conta Corrente (..1234)
2025-08-19,Salário,Renda,-4473.89,Cartão Amex (..2005)
2025-08-17,Zara,Compras,272.32,Conta Corrente (..1234)
2025-08-17,99Food,Delivery,113.32,Conta Corrente (..1234)
2025-08-17,Wellhub,Saúde,310.13,Conta Corrente (..1234)
2025-08-17,Z Deli,Alimentação,190.78,Cartão Amex (..2005)
2025-08-16,Aluguel,Contas,4392.36,Conta Corrente (..1234)
2025-08-15,Conta de Água - Sabesp,Contas,5785.88,Cartão Amex (..2005)
2025-08-15,Mercearia Maria,Mercado,323.65,Cartão Amex (..2005)
2025-08-14,Shopper,Mercado,1780.39,Cartão Visa (..5678)
2025-08-14,Icloud,Assinaturas,491.52,Cartão Visa (..5678)
2025-08-11,Carrefour,Mercado,993.39,Cartão Visa (..5678)
2025-08-11,Apple Plus,Assinaturas,460.99,Conta Corrente (..1234)
2025-08-11,iFood,Delivery,294.99,Cartão Amex (..2005)
2025-08-10,Carrefour,Mercado,1426.28,Cartão Visa (..5678)
2025-08-10,Amil Saúde,Saúde,293.1,Cartão Amex (..2005)
2025-08-08,Shopee,Compras,993.5,Cartão Amex (..2005)
2025-08-08,PIX Recebido,Renda,-7872.92,Cartão Amex (..2005)
2025-08-05,Churrascaria,Alimentação,309.51,Cartão Amex (..2005)
2025-08-04,Z Deli,Alimentação,455.87,Conta Corrente (..1234)
2025-08-03,McDonald's,Alimentação,313.19,Cartão Visa (..5678)
2025-08-02,Spotify,Assinaturas,150.91,Conta Corrente (..1234)
2025-08-02,Salário,Renda,-7649.67,Conta Corrente (..1234)
2025-08-02,iFood,Delivery,235.99,Cartão Visa (..5678)
2025-08-02,Shopper,Mercado,1006.77,Cartão Amex (..2005)
2025-08-01,Spotify,Assinaturas,224.87,Cartão Amex (..2005)
2025-08-01,Mercearia Maria,Mercado,2159.82,Conta Corrente (..1234)
2025-08-01,Shopper,Mercado,683.76,Conta Corrente (..1234)
2025-08-01,iFood,Delivery,116.95,Cartão Amex (..2005)
2025-08-01,Carrefour,Mercado,926.64,Cartão Visa (..5678)
2025-07-30,Amazon,Compras,530.23,Cartão Amex (..2005)
2025-07-29,Internet,Contas,5861.93,Conta Corrente (..1234)
2025-07-29,Mercearia Maria,Mercado,760.13,Cartão Amex (..2005)
2025-07-29,Amazon,Compras,252.34,Cartão Amex (..2005)
2025-07-29,Lojas Renner,Compras,934.3,Cartão Visa (..5678)
2025-07-28,Pão de Açúcar,Mercado,837.17,Conta Corrente (..1234)
2025-07-27,Pagamento Freelance,Renda,-5363.95,Cartão Amex (..2005)
2025-07-27,Bradesco Saúde,Saúde,41.75,Cartão Visa (..5678)
2025-07-27,Posto Shell,Transporte,125.64,Cartão Amex (..2005)
2025-07-25,Droga Raia,Saúde,238.69,Cartão Visa (..5678)
2025-07-24,99Food,Delivery,327.41,Conta Corrente (..1234)
2025-07-24,Wellhub,Saúde,162.89,Cartão Visa (..5678)
2025-07-23,Droga Raia,Saúde,26.15,Cartão Visa (..5678)
2025-07-23,99Food,Delivery,78.93,Cartão Visa (..5678)
2025-07-22,Spotify,Assinaturas,495.89,Conta Corrente (..1234)
2025-07-22,Rappi,Delivery,423.93,Cartão Visa (..5678)
2025-07-21,Zara,Compras,785.23,Cartão Amex (..2005)
2025-07-19,Posto Shell,Transporte,489.93,Cartão Amex (..2005)
2025-07-19,McDonald's,Alimentação,303.72,Conta Corrente (..1234)
2025-07-19,Rappi,Delivery,260.66,Cartão Visa (..5678)
2025-07-18,Rappi,Delivery,282.01,Conta Corrente (..1234)
2025-07-18,PIX Recebido,Renda,-7432.18,Conta Corrente (..1234)
2025-07-18,Posto Ipiranga,Transporte,407.74,Cartão Amex (..2005)
2025-07-18,Carrefour,Mercado,2978.94,Cartão Amex (..2005)
2025-07-18,Sem Parar,Transporte,136.69,Cartão Amex (..2005)
2025-07-18,Salário,Renda,-9493.65,Cartão Visa (..5678)
2025-07-17,Assai,Mercado,2702.68,Cartão Visa (..5678)
2025-07-16,Amazon,Compras,481.47,Cartão Visa (..5678)
2025-07-16,Zara,Compras,59.08,Cartão Amex (..2005)
2025-07-15,Conta de Luz - Enel,Contas,2567.23,Cartão Visa (..5678)
2025-07-14,Internet,Contas,3907.67,Conta Corrente (..1234)
2025-07-13,Conta de Água - Sabesp,Contas,471.99,Conta Corrente (..1234)
2025-07-13,Internet,Contas,5105.26,Conta Corrente (..1234)
2025-07-13,Apple Plus,Assinaturas,265.29,Cartão Amex (..2005)
2025-07-13,Pagamento Freelance,Renda,-3245.24,Cartão Amex (..2005)
2025-07-13,PIX Recebido,Renda,-3046.54,Cartão Amex (..2005)
2025-07-10,Assai,Mercado,1930.47,Cartão Amex (..2005)
2025-07-10,Netflix,Assinaturas,86.02,Conta Corrente (..1234)
2025-07-09,Salário,Renda,-6766.06,Cartão Visa (..5678)
2025-07-09,Rascal,Alimentação,379.28,Conta Corrente (..1234)
2025-07-09,Bradesco Saúde,Saúde,226.44,Cartão Visa (..5678)
2025-07-08,Sem Parar,Transporte,236.22,Conta Corrente (..1234)
2025-07-08,PIX Recebido,Renda,-6329.66,Cartão Amex (..2005)
2025-07-07,PIX Recebido,Renda,-6473.66,Cartão Visa (..5678)
2025-07-06,Drogasil,Saúde,122.98,Cartão Amex (..2005)
2025-07-05,Conta de Luz - Enel,Contas,944.87,Conta Corrente (..1234)
2025-07-03,Amazon,Compras,207.96,Cartão Visa (..5678)
2025-07-02,Pagamento Freelance,Renda,-7206.47,Cartão Visa (..5678)
2025-07-01,Aluguel,Contas,5361.16,Cartão Visa (..5678)
2025-06-30,Internet,Contas,4108.03,Conta Corrente (..1234)
2025-06-30,Spotify,Assinaturas,469.44,Cartão Visa (..5678)
2025-06-29,McDonald's,Alimentação,413.86,Conta Corrente (..1234)
2025-06-28,Apple Plus,Assinaturas,496.9,Conta Corrente (..1234)
2025-06-27,Salário,Renda,-3087.78,Cartão Visa (..5678)
2025-06-27,Salário,Renda,-2233.14,Conta Corrente (..1234)
2025-06-25,Assai,Mercado,749.98,Cartão Visa (..5678)
2025-06-25,Sem Parar,Transporte,379.5,Cartão Amex (..2005)
2025-06-25,HBO Max,Assinaturas,395.42,Conta Corrente (..1234)
2025-06-24,Academia,Saúde,133.68,Conta Corrente (..1234)
2025-06-23,Academia,Saúde,281.65,Cartão Visa (..5678)
2025-06-23,Conta de Luz - Enel,Contas,3110.58,Conta Corrente (..1234)
2025-06-22,99Food,Delivery,258.53,Cartão Amex (..2005)
2025-06-22,Drogaria São Paulo,Saúde,268.9,Cartão Amex (..2005)
2025-06-22,Rascal,Alimentação,326.7,Cartão Amex (..2005)
2025-06-20,HBO Max,Assinaturas,244.43,Conta Corrente (..1234)
2025-06-20,Internet,Contas,1107.9,Cartão Visa (..5678)
2025-06-19,Posto Shell,Transporte,95.32,Cartão Amex (..2005)
2025-06-18,Conta de Luz - Enel,Contas,4753.19,Cartão Amex (..2005)
2025-06-16,HBO Max,Assinaturas,57.47,Conta Corrente (..1234)
2025-06-16,Rappi,Delivery,120.71,Cartão Amex (..2005)
2025-06-15,Coffee Lab,Alimentação,221.85,Conta Corrente (..1234)
2025-06-15,Carrefour,Mercado,2097.42,Conta Corrente (..1234)
2025-06-13,Mercearia Maria,Mercado,2822.93,Cartão Visa (..5678)
2025-06-11,Internet,Contas,5708.52,Cartão Visa (..5678)
2025-06-10,Starbucks,Alimentação,318.41,Cartão Visa (..5678)
2025-06-09,Salário,Renda,-7012.89,Cartão Amex (..2005)
2025-06-08,PIX Recebido,Renda,-6283.98,Conta Corrente (..1234)
2025-06-08,Coffee Lab,Alimentação,489.03,Cartão Amex (..2005)
2025-06-07,Carrefour,Mercado,704.52,Cartão Amex (..2005)
2025-06-06,PIX Recebido,Renda,-2960.93,Cartão Amex (..2005)
2025-06-05,Drogasil,Saúde,231.1,Cartão Visa (..5678)
2025-06-05,99Food,Delivery,22.96,Conta Corrente (..1234)
2025-06-04,Starbucks,Alimentação,276.8,Cartão Amex (..2005)
2025-06-04,Coffee Lab,Alimentação,194.93,Cartão Visa (..5678)
2025-06-03,Pão de Açúcar,Mercado,1635.01,Cartão Visa (..5678)
2025-06-03,Lojas Renner,Compras,414.47,Cartão Amex (..2005)
2025-06-03,PIX Recebido,Renda,-6382.76,Cartão Visa (..5678)
2025-06-02,Lojas Renner,Compras,142.11,Conta Corrente (..1234)
2025-06-02,Conta de Luz - Enel,Contas,4673.04,Cartão Visa (..5678)
2025-05-31,PIX Recebido,Renda,-2220.85,Conta Corrente (..1234)
2025-05-29,Mercado Livre,Compras,377.5,Cartão Amex (..2005)
2025-05-28,Bradesco Saúde,Saúde,482.77,Conta Corrente (..1234)
2025-05-28,Z Deli,Alimentação,101.61,Cartão Visa (..5678)
2025-05-28,Coffee Lab,Alimentação,215.32,Cartão Visa (..5678)
2025-05-27,Starbucks,Alimentação,257.1,Cartão Amex (..2005)
2025-05-27,Taxi,Transporte,365.88,Conta Corrente (..1234)
2025-05-24,PIX Recebido,Renda,-6018.87,Conta Corrente (..1234)
2025-05-23,Rascal,Alimentação,217.3,Conta Corrente (..1234)
2025-05-22,PIX Recebido,Renda,-2841.78,Cartão Visa (..5678)
2025-05-22,McDonald's,Alimentação,282.28,Cartão Amex (..2005)
2025-05-22,Drogasil,Saúde,149.54,Conta Corrente (..1234)
2025-05-21,Drogaria São Paulo,Saúde,117.25,Conta Corrente (..1234)
2025-05-21,Drogasil,Saúde,212.43,Cartão Amex (..2005)
2025-05-21,Icloud,Assinaturas,409.91,Cartão Amex (..2005)
2025-05-20,Bilhere Único,Transporte,77.8,Cartão Visa (..5678)
2025-05-20,Carrefour,Mercado,1683.6,Cartão Amex (..2005)
2025-05-20,Coffee Lab,Alimentação,148.67,Conta Corrente (..1234)
2025-05-19,Z Deli,Alimentação,271.29,Cartão Visa (..5678)
2025-05-19,Rappi,Delivery,42.03,Cartão Amex (..2005)
2025-05-19,Posto Ipiranga,Transporte,163.18,Cartão Amex (..2005)
2025-05-19,Starbucks,Alimentação,56.7,Cartão Amex (..2005)
2025-05-19,Aluguel,Contas,5268.61,Conta Corrente (..1234)
2025-05-18,Mercearia Maria,Mercado,445.16,Cartão Visa (..5678)
2025-05-18,Amil Saúde,Saúde,353.91,Cartão Amex (..2005)
2025-05-16,Drogasil,Saúde,59.14,Cartão Amex (..2005)
2025-05-16,Salário,Renda,-9009.89,Cartão Visa (..5678)
2025-05-15,HBO Max,Assinaturas,383.5,Cartão Amex (..2005)
2025-05-12,99Food,Delivery,75.34,Conta Corrente (..1234)
2025-05-10,Lojas Renner,Compras,165.49,Cartão Visa (..5678)
2025-05-09,Spotify,Assinaturas,172.13,Cartão Visa (..5678)
2025-05-08,Assai,Mercado,1811.96,Cartão Visa (..5678)
2025-05-08,Salário,Renda,-6630.36,Conta Corrente (..1234)
2025-05-08,Pagamento Freelance,Renda,-7269.55,Cartão Amex (..2005)
2025-05-07,Wellhub,Saúde,13.42,Cartão Amex (..2005)
2025-05-06,Icloud,Assinaturas,360.76,Conta Corrente (..1234)
2025-05-06,Icloud,Assinaturas,125.42,Conta Corrente (..1234)
2025-05-05,Posto Shell,Transporte,284.37,Conta Corrente (..1234)
2025-05-05,Taxi,Transporte,344.84,Cartão Visa (..5678)
2025-05-04,McDonald's,Alimentação,317.54,Cartão Amex (..2005)
2025-05-04,Amil Saúde,Saúde,336.77,Conta Corrente (..1234)
2025-05-04,Pagamento Freelance,Renda,-4872.45,Cartão Amex (..2005)
2025-05-03,Lojas Renner,Compras,317.81,Cartão Amex (..2005)
2025-05-03,Bradesco Saúde,Saúde,421.55,Cartão Amex (..2005)
2025-05-03,Conta de Luz - Enel,Contas,4961.59,Cartão Amex (..2005)
2025-05-03,99APP,Transporte,200.12,Cartão Amex (..2005)
2025-05-02,Rappi,Delivery,130.52,Cartão Visa (..5678)
2025-05-02,Zara,Compras,495.51,Conta Corrente (..1234)
2025-05-02,Zara,Compras,743.55,Conta Corrente (..1234)
2025-05-02,Amil Saúde,Saúde,229.44,Cartão Visa (..5678)
2025-05-01,Aluguel,Contas,2718.05,Cartão Amex (..2005)
2025-05-01,Rascal,Alimentação,115.66,Cartão Visa (..5678)
2025-04-30,McDonald's,Alimentação,489.32,Cartão Visa (..5678)
2025-04-29,Drogaria São Paulo,Saúde,261.53,Cartão Visa (..5678)
2025-04-29,Icloud,Assinaturas,144.95,Cartão Visa (..5678)
2025-04-29,Drogasil,Saúde,220.91,Conta Corrente (..1234)
2025-04-28,Rascal,Alimentação,391.06,Cartão Visa (..5678)
2025-04-26,Icloud,Assinaturas,254.6,Cartão Visa (..5678)
2025-04-26,Drogaria São Paulo,Saúde,264.29,Cartão Amex (..2005)
2025-04-25,Uber,Transporte,206.06,Cartão Visa (..5678)
2025-04-22,iFood,Delivery,344.96,Conta Corrente (..1234)
2025-04-22,Starbucks,Alimentação,20.8,Cartão Visa (..5678)
2025-04-22,iFood,Delivery,294.58,Conta Corrente (..1234)
2025-04-22,Coffee Lab,Alimentação,409.91,Cartão Amex (..2005)
2025-04-19,Apple Plus,Assinaturas,498.82,Conta Corrente (..1234)
2025-04-19,Pagamento Freelance,Renda,-9595.66,Conta Corrente (..1234)
2025-04-17,Internet,Contas,1845.2,Cartão Visa (..5678)
2025-04-17,iFood,Delivery,429.35,Conta Corrente (..1234)
2025-04-16,99Food,Delivery,335.44,Conta Corrente (..1234)
2025-04-14,Starbucks,Alimentação,187.12,Conta Corrente (..1234)
2025-04-12,HBO Max,Assinaturas,24.99,Conta Corrente (..1234)
2025-04-11,Lojas Renner,Compras,285.3,Cartão Visa (..5678)
2025-04-11,McDonald's,Alimentação,193.96,Cartão Amex (..2005)
2025-04-10,Salário,Renda,-8660.9,Conta Corrente (..1234)
2025-04-08,Posto Shell,Transporte,20.03,Cartão Visa (..5678)
2025-04-07,HBO Max,Assinaturas,251.48,Cartão Visa (..5678)
2025-04-07,Rascal,Alimentação,67.42,Conta Corrente (..1234)
2025-04-06,Salário,Renda,-8188.17,Conta Corrente (..1234)
2025-04-06,Assai,Mercado,2388.66,Conta Corrente (..1234)
2025-04-06,Apple Plus,Assinaturas,37.66,Cartão Amex (..2005)
2025-04-06,Conta de Água - Sabesp,Contas,2188.44,Cartão Visa (..5678)
2025-04-06,Bradesco Saúde,Saúde,71.6,Conta Corrente (..1234)
2025-04-05,Internet,Contas,767.24,Cartão Visa (..5678)
2025-04-04,Aluguel,Contas,4692.92,Cartão Amex (..2005)
2025-04-04,Shopper,Mercado,191.07,Conta Corrente (..1234)
2025-04-03,Posto Shell,Transporte,33.26,Cartão Amex (..2005)
2025-04-03,Amil Saúde,Saúde,349.92,Conta Corrente (..1234)
2025-04-01,Aluguel,Contas,2759.24,Cartão Visa (..5678)
2025-04-01,Internet,Contas,2947.22,Cartão Amex (..2005)
2025-03-31,Rascal,Alimentação,498.27,Conta Corrente (..1234)
2025-03-31,Icloud,Assinaturas,85.62,Cartão Amex (..2005)
2025-03-31,Salário,Renda,-9846.24,Cartão Amex (..2005)
2025-03-30,Pão de Açúcar,Mercado,1971.94,Cartão Visa (..5678)
2025-03-30,Shopper,Mercado,2385.84,Conta Corrente (..1234)
2025-03-27,Droga Raia,Saúde,154.07,Cartão Amex (..2005)
2025-03-25,Pão de Açúcar,Mercado,1842.48,Cartão Visa (..5678)
2025-03-25,Zara,Compras,679.78,Cartão Amex (..2005)
2025-03-25,Salário,Renda,-6622.43,Cartão Visa (..5678)
2025-03-24,Mercado Livre,Compras,223.75,Conta Corrente (..1234)
2025-03-23,Taxi,Transporte,193.4,Cartão Amex (..2005)
2025-03-23,Assai,Mercado,774.57,Conta Corrente (..1234)
2025-03-22,Amazon,Compras,714.08,Conta Corrente (..1234)
2025-03-22,HBO Max,Assinaturas,186.75,Cartão Visa (..5678)
2025-03-21,99APP,Transporte,246.01,Cartão Visa (..5678)
2025-03-20,Mercado Livre,Compras,390.39,Cartão Amex (..2005)
2025-03-19,Rappi,Delivery,408.19,Conta Corrente (..1234)
2025-03-18,Starbucks,Alimentação,405.58,Conta Corrente (..1234)
2025-03-18,Bilhere Único,Transporte,135.82,Conta Corrente (..1234)
2025-03-16,Icloud,Assinaturas,337.44,Cartão Amex (..2005)
2025-03-15,Carrefour,Mercado,550.08,Conta Corrente (..1234)
2025-03-13,Amazon,Compras,690.63,Cartão Amex (..2005)
2025-03-12,HBO Max,Assinaturas,44.59,Cartão Visa (..5678)
2025-03-11,Zara,Compras,978.92,Cartão Visa (..5678)
2025-03-08,Bradesco Saúde,Saúde,476.71,Conta Corrente (..1234)
2025-03-06,Amil Saúde,Saúde,67.16,Cartão Visa (..5678)
2025-03-06,Bradesco Saúde,Saúde,323.19,Conta Corrente (..1234)
2025-03-04,Carrefour,Mercado,529.78,Cartão Amex (..2005)
2025-03-04,99APP,Transporte,125.02,Cartão Amex (..2005)
2025-03-02,Taxi,Transporte,435.79,Conta Corrente (..1234)
2025-03-02,Rappi,Delivery,303.5,Conta Corrente (..1234)
2025-03-01,Zara,Compras,161.93,Cartão Amex (..2005)
2025-03-01,Shopee,Compras,606.92,Conta Corrente (..1234)
2025-02-28,Taxi,Transporte,124.33,Cartão Amex (..2005)
2025-02-27,Bilhere Único,Transporte,180.76,Cartão Amex (..2005)
2025-02-27,Aluguel,Contas,5773.81,Cartão Amex (..2005)
2025-02-27,Shopee,Compras,929.84,Cartão Amex (..2005)
2025-02-26,Internet,Contas,4671.93,Cartão Amex (..2005)
2025-02-26,Aluguel,Contas,140.19,Cartão Visa (..5678)
2025-02-25,Academia,Saúde,14.71,Cartão Visa (..5678)
2025-02-23,Drogasil,Saúde,96.29,Conta Corrente (..1234)
2025-02-23,99Food,Delivery,351.2,Conta Corrente (..1234)
2025-02-21,Bradesco Saúde,Saúde,383.33,Cartão Amex (..2005)
2025-02-20,Wellhub,Saúde,97.08,Cartão Visa (..5678)
2025-02-20,Kotay Sushi,Alimentação,409.94,Conta Corrente (..1234)
2025-02-20,Coffee Lab,Alimentação,460.46,Cartão Amex (..2005)
2025-02-19,Spotify,Assinaturas,141.99,Cartão Amex (..2005)
2025-02-18,Taxi,Transporte,88.29,Conta Corrente (..1234)
2025-02-17,Coffee Lab,Alimentação,351.3,Cartão Amex (..2005)
2025-02-17,Droga Raia,Saúde,119.6,Conta Corrente (..1234)
2025-02-16,Z Deli,Alimentação,271.87,Conta Corrente (..1234)
2025-02-16,Zara,Compras,878.53,Conta Corrente (..1234)
2025-02-16,Rascal,Alimentação,171.35,Cartão Amex (..2005)
2025-02-15,Internet,Contas,326.37,Cartão Amex (..2005)
2025-02-15,Rappi,Delivery,325.24,Conta Corrente (..1234)
2025-02-15,99APP,Transporte,244.75,Cartão Visa (..5678)
2025-02-14,Zara,Compras,841.63,Cartão Visa (..5678)
2025-02-14,Bilhere Único,Transporte,37.83,Cartão Amex (..2005)
2025-02-12,Shopee,Compras,568.96,Cartão Amex (..2005)
2025-02-12,99Food,Delivery,430.96,Cartão Visa (..5678)
2025-02-11,Rappi,Delivery,262.79,Cartão Amex (..2005)
2025-02-10,Pagamento Freelance,Renda,-7978.61,Conta Corrente (..1234)
2025-02-09,PIX Recebido,Renda,-3325.8,Cartão Amex (..2005)
2025-02-08,Posto Shell,Transporte,390.0,Cartão Visa (..5678)
2025-02-07,Netflix,Assinaturas,182.57,Cartão Amex (..2005)
2025-02-06,Aluguel,Contas,2613.28,Cartão Amex (..2005)
2025-02-06,Uber,Transporte,114.11,Cartão Amex (..2005)
2025-02-05,Conta de Luz - Enel,Contas,2074.6,Cartão Visa (..5678)
2025-02-05,Bradesco Saúde,Saúde,105.35,Cartão Visa (..5678)
2025-02-05,Sem Parar,Transporte,291.73,Conta Corrente (..1234)
2025-02-04,Aluguel,Contas,2906.06,Cartão Amex (..2005)
2025-02-03,Pagamento Freelance,Renda,-4888.2,Cartão Visa (..5678)
2025-02-03,Internet,Contas,2743.75,Conta Corrente (..1234)
2025-02-02,Drogaria São Paulo,Saúde,438.02,Conta Corrente (..1234)
2025-02-02,Carrefour,Mercado,2931.86,Cartão Visa (..5678)
